work_product_id,name,method_work_product_ids,source_processes,producer_tasks,consumer_tasks,hypothetical_instance,status
cim-artifact.trace-readiness,Trace & Readiness Record,,cim,task.cim.ph5.st3.t1,task.cim.ph5.st4.t1,CS-CIM-ARTIFACT-TRACE-READINESS-V1,simulated-produced-and-reviewed
cim-artifact.transformation-contract,Transformation Contract,,cim,task.cim.ph5.st2.t1,task.cim.ph5.st3.t1,CS-CIM-ARTIFACT-TRANSFORMATION-CONTRACT-V1,simulated-produced-and-reviewed
e2e-artifact.cost-model,Cost Model and Budget Guardrails,WP-03,end-to-end,task.e2e.ops.a1.t1 | task.e2e.ops.a5.t1 | task.e2e.p5.psm-refinement.t1 | task.e2e.ph0.st1a.t2 | task.e2e.ph0.st1a.t3 | task.e2e.ph2.st2.t2 | task.e2e.ph2.st3.t1 | task.e2e.rel.a1.t2 | task.e2e.rel.a3.t1,task.e2e.ops.a1.t1 | task.e2e.ops.a5.t1 | task.e2e.p0.increment-planning.t1 | task.e2e.p7.artifact-completion.t1 | task.e2e.p7.artifact-completion.t2 | task.e2e.ph0.st1a.t3 | task.e2e.ph0.st4.t2 | task.e2e.ph2.st1.t1 | task.e2e.ph2.st2.t2 | task.e2e.ph2.st3.t1 | task.e2e.rel.a1.t2 | task.e2e.rel.a3.t1,CS-E2E-ARTIFACT-COST-MODEL-V1,simulated-produced-and-reviewed
e2e-artifact.improvement-record,Retrospective and Improvement Record,WP-29,end-to-end,task.e2e.ops.a3.t2 | task.e2e.ops.a5.t1 | task.e2e.p7.artifact-completion.t2 | task.e2e.ph2.st3.t1 | task.e2e.rel.a3.t1,task.e2e.ops.a3.t2 | task.e2e.ops.a5.t1 | task.e2e.p7.artifact-completion.t2 | task.e2e.ph2.st3.t1 | task.e2e.rel.a3.t1,CS-E2E-ARTIFACT-IMPROVEMENT-RECORD-V1,simulated-produced-and-reviewed
e2e-artifact.increment-record,Increment and Integrated Plan Record,WP-07,end-to-end,task.e2e.ops.a4.t1 | task.e2e.p0.increment-planning.t1 | task.e2e.p1.cim-modeling.t1 | task.e2e.p2.cim-to-pim.t1 | task.e2e.p3.pim-refinement.t1 | task.e2e.p4.pim-to-psm.t1 | task.e2e.p5.psm-refinement.t1 | task.e2e.p6.m2t-generation.t1 | task.e2e.p7.artifact-completion.t1 | task.e2e.p7.artifact-completion.t2 | task.e2e.ph0.st1.t2 | task.e2e.rel.a3.t1,task.e2e.ops.a3.t2 | task.e2e.ops.a4.t1 | task.e2e.ops.a5.t1 | task.e2e.p1.cim-modeling.t1 | task.e2e.p2.cim-to-pim.t1 | task.e2e.p3.pim-refinement.t1 | task.e2e.p4.pim-to-psm.t1 | task.e2e.p5.psm-refinement.t1 | task.e2e.p6.m2t-generation.t1 | task.e2e.p7.artifact-completion.t1 | task.e2e.p7.artifact-completion.t2 | task.e2e.ph0.st2.t1 | task.e2e.ph0.st2.t2 | task.e2e.ph2.st3.t1 | task.e2e.rel.a1.t1 | task.e2e.rel.a1.t2 | task.e2e.rel.a3.t1,CS-E2E-ARTIFACT-INCREMENT-RECORD-V1,simulated-produced-and-reviewed
e2e-artifact.method-profile,Situational Method Profile,WP-05,end-to-end,task.e2e.ops.a3.t2 | task.e2e.ops.a5.t1 | task.e2e.p7.artifact-completion.t2 | task.e2e.ph0.st2.t1 | task.e2e.ph0.st2.t2 | task.e2e.ph0.st3.t2 | task.e2e.ph0.st4.t1 | task.e2e.ph0.st4.t2 | task.e2e.ph2.st3.t1,task.e2e.ops.a1.t1 | task.e2e.ops.a2.t1 | task.e2e.ops.a2.t2 | task.e2e.ops.a3.t1 | task.e2e.ops.a3.t2 | task.e2e.ops.a4.t1 | task.e2e.ops.a5.t1 | task.e2e.p0.increment-planning.t1 | task.e2e.p1.cim-modeling.t1 | task.e2e.p2.cim-to-pim.t1 | task.e2e.p3.pim-refinement.t1 | task.e2e.p4.pim-to-psm.t1 | task.e2e.p5.psm-refinement.t1 | task.e2e.p6.m2t-generation.t1 | task.e2e.p7.artifact-completion.t1 | task.e2e.p7.artifact-completion.t2 | task.e2e.ph0.st2.t2 | task.e2e.ph0.st3.t1 | task.e2e.ph0.st3.t2 | task.e2e.ph0.st4.t1 | task.e2e.ph0.st4.t2 | task.e2e.ph2.st1.t1 | task.e2e.ph2.st2.t1 | task.e2e.ph2.st2.t3 | task.e2e.ph2.st3.t1 | task.e2e.rel.a1.t1 | task.e2e.rel.a1.t2 | task.e2e.rel.a2.t1 | task.e2e.rel.a2.t2 | task.e2e.rel.a3.t1,CS-E2E-ARTIFACT-METHOD-PROFILE-V1,simulated-produced-and-reviewed
e2e-artifact.operational-work-item,Service Work Item,WP-30,end-to-end,task.e2e.ops.a1.t1 | task.e2e.ops.a2.t1 | task.e2e.ops.a2.t2 | task.e2e.ops.a3.t1 | task.e2e.ops.a3.t2 | task.e2e.ops.a4.t1,task.e2e.ops.a2.t1 | task.e2e.ops.a2.t2 | task.e2e.ops.a3.t1 | task.e2e.ops.a3.t2 | task.e2e.ops.a4.t1 | task.e2e.ops.a5.t1,CS-E2E-ARTIFACT-OPERATIONAL-WORK-ITEM-V1,simulated-produced-and-reviewed
e2e-artifact.operations-record,"Operational Evidence, Incident and Change Record",WP-25 | WP-26 | WP-27,end-to-end,task.e2e.ops.a1.t1 | task.e2e.ops.a2.t2 | task.e2e.ops.a3.t1 | task.e2e.ops.a3.t2 | task.e2e.ops.a4.t1 | task.e2e.ops.a5.t1 | task.e2e.rel.a2.t2,task.e2e.ops.a1.t1 | task.e2e.ops.a2.t1 | task.e2e.ops.a2.t2 | task.e2e.ops.a3.t1 | task.e2e.ops.a3.t2 | task.e2e.ops.a4.t1 | task.e2e.ops.a5.t1 | task.e2e.ph2.st1.t1 | task.e2e.ph2.st2.t1 | task.e2e.ph2.st2.t2 | task.e2e.ph2.st2.t3 | task.e2e.ph2.st3.t1 | task.e2e.rel.a3.t1,CS-E2E-ARTIFACT-OPERATIONS-RECORD-V1,simulated-produced-and-reviewed
e2e-artifact.product-charter,Product and System Charter,WP-01,end-to-end,task.e2e.ph0.st1.t1 | task.e2e.ph0.st1.t2 | task.e2e.ph0.st1a.t3 | task.e2e.ph0.st4.t2 | task.e2e.rel.a3.t1,task.e2e.ops.a1.t1 | task.e2e.ops.a4.t1 | task.e2e.ops.a5.t1 | task.e2e.p0.increment-planning.t1 | task.e2e.p1.cim-modeling.t1 | task.e2e.p2.cim-to-pim.t1 | task.e2e.p3.pim-refinement.t1 | task.e2e.p4.pim-to-psm.t1 | task.e2e.p5.psm-refinement.t1 | task.e2e.p7.artifact-completion.t1 | task.e2e.ph0.st1.t2 | task.e2e.ph0.st1a.t1 | task.e2e.ph0.st1a.t2 | task.e2e.ph0.st1a.t3 | task.e2e.ph0.st2.t1 | task.e2e.ph0.st2.t2 | task.e2e.ph0.st3.t1 | task.e2e.ph0.st3.t2 | task.e2e.ph0.st4.t1 | task.e2e.ph0.st4.t2 | task.e2e.ph2.st1.t1 | task.e2e.ph2.st3.t1 | task.e2e.rel.a1.t1 | task.e2e.rel.a1.t2 | task.e2e.rel.a2.t1 | task.e2e.rel.a2.t2 | task.e2e.rel.a3.t1,CS-E2E-ARTIFACT-PRODUCT-CHARTER-V1,simulated-produced-and-reviewed
e2e-artifact.release-record,"Release, Recovery, Handover and Promotion Record",WP-21 | WP-22 | WP-23 | WP-24,end-to-end,task.e2e.rel.a1.t1 | task.e2e.rel.a1.t2 | task.e2e.rel.a2.t1 | task.e2e.rel.a2.t2 | task.e2e.rel.a3.t1,task.e2e.ops.a1.t1 | task.e2e.ops.a3.t1 | task.e2e.ops.a3.t2 | task.e2e.ops.a4.t1 | task.e2e.ops.a5.t1 | task.e2e.ph2.st1.t1 | task.e2e.ph2.st2.t1 | task.e2e.ph2.st2.t2 | task.e2e.ph2.st3.t1 | task.e2e.rel.a1.t2 | task.e2e.rel.a2.t1 | task.e2e.rel.a2.t2 | task.e2e.rel.a3.t1,CS-E2E-ARTIFACT-RELEASE-RECORD-V1,simulated-produced-and-reviewed
e2e-artifact.retirement-record,"Retirement, Data-Disposition and Closure Record",WP-28,end-to-end,task.e2e.ph2.st1.t1 | task.e2e.ph2.st2.t1 | task.e2e.ph2.st2.t2 | task.e2e.ph2.st2.t3 | task.e2e.ph2.st3.t1,task.e2e.ph2.st2.t1 | task.e2e.ph2.st2.t2 | task.e2e.ph2.st2.t3 | task.e2e.ph2.st3.t1,CS-E2E-ARTIFACT-RETIREMENT-RECORD-V1,simulated-produced-and-reviewed
e2e-artifact.risk-register,Risk and Opportunity Register,WP-04,end-to-end,task.e2e.ops.a3.t2 | task.e2e.p0.increment-planning.t1 | task.e2e.p3.pim-refinement.t1 | task.e2e.p5.psm-refinement.t1 | task.e2e.ph0.st1a.t1 | task.e2e.ph0.st1a.t2 | task.e2e.ph0.st1a.t3 | task.e2e.ph0.st2.t1 | task.e2e.ph0.st4.t1 | task.e2e.ph2.st1.t1 | task.e2e.rel.a1.t2,task.e2e.ops.a3.t2 | task.e2e.p0.increment-planning.t1 | task.e2e.p7.artifact-completion.t1 | task.e2e.p7.artifact-completion.t2 | task.e2e.ph0.st1a.t3 | task.e2e.ph0.st4.t1 | task.e2e.ph0.st4.t2 | task.e2e.ph2.st1.t1 | task.e2e.rel.a1.t2,CS-E2E-ARTIFACT-RISK-REGISTER-V1,simulated-produced-and-reviewed
e2e-artifact.serverless-suitability,Feasibility and Serverless Suitability Record,WP-02,end-to-end,task.e2e.ph0.st1a.t1 | task.e2e.ph0.st1a.t3,task.e2e.ph0.st1a.t2 | task.e2e.ph0.st1a.t3,CS-E2E-ARTIFACT-SERVERLESS-SUITABILITY-V1,simulated-produced-and-reviewed
e2e-artifact.service-flow-system,Kanban Service-Delivery Policy and Board,WP-31,end-to-end,task.e2e.ops.a2.t1 | task.e2e.ops.a2.t2 | task.e2e.ops.a5.t1 | task.e2e.ph0.st4.t2,task.e2e.ops.a1.t1 | task.e2e.ops.a2.t1 | task.e2e.ops.a2.t2 | task.e2e.ops.a3.t1 | task.e2e.ops.a3.t2 | task.e2e.ops.a4.t1 | task.e2e.ops.a5.t1,CS-E2E-ARTIFACT-SERVICE-FLOW-SYSTEM-V1,simulated-produced-and-reviewed
e2e-artifact.team-topology,Team Topology and Dependency Map,WP-06,end-to-end,task.e2e.ph0.st3.t1 | task.e2e.ph0.st3.t2,task.e2e.p0.increment-planning.t1 | task.e2e.p1.cim-modeling.t1 | task.e2e.p6.m2t-generation.t1 | task.e2e.ph0.st3.t2 | task.e2e.ph0.st4.t1 | task.e2e.ph0.st4.t2 | task.e2e.ph2.st2.t2 | task.e2e.rel.a1.t1 | task.e2e.rel.a2.t1 | task.e2e.rel.a2.t2,CS-E2E-ARTIFACT-TEAM-TOPOLOGY-V1,simulated-produced-and-reviewed
pim-artifact.api-catalog,API Catalog,,pim,task.pim.ph3.st2.t1 | task.pim.ph3.st2.t2,task.pim.ph3.st2.t2 | task.pim.ph4.st1.t1 | task.pim.ph4.st1.t2 | task.pim.ph4.st2.t1 | task.pim.ph4.st2.t2 | task.pim.ph5.st1.t2 | task.pim.ph5.st2.ss1.t2 | task.pim.ph5.st2.ss2.t1 | task.pim.ph5.st2.ss2.t2 | task.pim.ph5.st2.ss3.t2 | task.pim.ph5.st3.t1 | task.pim.ph5.st3.t2 | task.pim.ph6.st1.t1 | task.pim.ph6.st2.t1,CS-PIM-ARTIFACT-API-CATALOG-V1,simulated-produced-and-reviewed
pim-artifact.architecture-posture,Architecture Posture,,pim,task.pim.ph1.st1.t1 | task.pim.ph1.st1.t2 | task.pim.ph1.st1.t3,task.pim.ph1.st1.t2 | task.pim.ph1.st1.t3 | task.pim.ph1.st2.t1 | task.pim.ph1.st2.t2 | task.pim.ph2.st1.t1 | task.pim.ph2.st2.t1 | task.pim.ph5.st1.t1 | task.pim.ph5.st1.t2 | task.pim.ph5.st3.t1 | task.pim.ph5.st3.t2 | task.pim.ph6.st1.t1 | task.pim.ph6.st2.t1 | task.pim.ph6.st3.t1,CS-PIM-ARTIFACT-ARCHITECTURE-POSTURE-V1,simulated-produced-and-reviewed
pim-artifact.compute-catalog,Compute Catalog,,pim,task.pim.ph3.st1.t1 | task.pim.ph3.st1.t2,task.pim.ph3.st1.t2 | task.pim.ph3.st2.t1 | task.pim.ph3.st2.t2 | task.pim.ph4.st1.t1 | task.pim.ph4.st1.t2 | task.pim.ph5.st1.t2 | task.pim.ph5.st2.ss1.t1 | task.pim.ph5.st2.ss1.t2 | task.pim.ph5.st2.ss2.t1 | task.pim.ph5.st3.t2 | task.pim.ph6.st1.t1 | task.pim.ph6.st2.t1,CS-PIM-ARTIFACT-COMPUTE-CATALOG-V1,simulated-produced-and-reviewed
pim-artifact.config-package,Configuration Package,,pim,task.pim.ph5.st3.t1 | task.pim.ph5.st3.t2,task.pim.ph5.st3.t2 | task.pim.ph6.st1.t1 | task.pim.ph6.st2.t1 | task.pim.ph6.st3.t1,CS-PIM-ARTIFACT-CONFIG-PACKAGE-V1,simulated-produced-and-reviewed
pim-artifact.contract-catalog,Contract Catalog,,pim,task.pim.ph2.st1.t1 | task.pim.ph2.st1.t2,task.pim.ph2.st1.t2 | task.pim.ph2.st2.t1 | task.pim.ph2.st2.t2 | task.pim.ph2.st2.t3 | task.pim.ph3.st1.t1 | task.pim.ph3.st1.t2 | task.pim.ph3.st2.t1 | task.pim.ph3.st2.t2 | task.pim.ph4.st1.t1 | task.pim.ph4.st1.t2 | task.pim.ph4.st2.t1 | task.pim.ph4.st2.t2 | task.pim.ph5.st1.t1 | task.pim.ph5.st1.t2 | task.pim.ph5.st3.t1 | task.pim.ph6.st2.t1,CS-PIM-ARTIFACT-CONTRACT-CATALOG-V1,simulated-produced-and-reviewed
pim-artifact.data-architecture,Data Architecture,,pim,task.pim.ph2.st2.t1 | task.pim.ph2.st2.t2 | task.pim.ph2.st2.t3,task.pim.ph2.st2.t2 | task.pim.ph2.st2.t3 | task.pim.ph3.st1.t1 | task.pim.ph5.st2.ss1.t2 | task.pim.ph5.st2.ss3.t1 | task.pim.ph6.st1.t1 | task.pim.ph6.st2.t1,CS-PIM-ARTIFACT-DATA-ARCHITECTURE-V1,simulated-produced-and-reviewed
pim-artifact.increment-plan,PIM Increment Plan,,pim,task.pim.ph1.st0.t1,task.pim.ph1.st1.t1 | task.pim.ph1.st1.t2 | task.pim.ph1.st1.t3 | task.pim.ph1.st2.t1 | task.pim.ph2.st1.t1 | task.pim.ph6.st2.t1 | task.pim.ph6.st3.t1,CS-PIM-ARTIFACT-INCREMENT-PLAN-V1,simulated-produced-and-reviewed
pim-artifact.increment-review,PIM Increment Review Record,,pim,task.pim.ph6.st3.t1,,CS-PIM-ARTIFACT-INCREMENT-REVIEW-V1,simulated-produced-and-reviewed
pim-artifact.integration-topology,Integration Topology,,pim,task.pim.ph4.st1.t1 | task.pim.ph4.st1.t2,task.pim.ph4.st1.t2 | task.pim.ph4.st2.t1 | task.pim.ph4.st2.t2 | task.pim.ph5.st2.ss1.t1 | task.pim.ph5.st2.ss1.t2 | task.pim.ph5.st2.ss2.t1 | task.pim.ph5.st3.t1 | task.pim.ph5.st3.t2 | task.pim.ph6.st1.t1 | task.pim.ph6.st2.t1,CS-PIM-ARTIFACT-INTEGRATION-TOPOLOGY-V1,simulated-produced-and-reviewed
pim-artifact.platform-readiness,Platform Readiness Record,,pim,task.pim.ph6.st1.t1 | task.pim.ph6.st2.t1,task.pim.ph6.st2.t1 | task.pim.ph6.st3.t1,CS-PIM-ARTIFACT-PLATFORM-READINESS-V1,simulated-produced-and-reviewed
pim-artifact.policy-catalog,Architecture Policy Catalog,,pim,task.pim.ph5.st2.ss1.t1 | task.pim.ph5.st2.ss1.t2 | task.pim.ph5.st2.ss2.t1 | task.pim.ph5.st2.ss2.t2 | task.pim.ph5.st2.ss3.t1 | task.pim.ph5.st2.ss3.t2,task.pim.ph5.st2.ss1.t2 | task.pim.ph5.st2.ss2.t1 | task.pim.ph5.st2.ss2.t2 | task.pim.ph5.st2.ss3.t1 | task.pim.ph5.st2.ss3.t2 | task.pim.ph5.st3.t1 | task.pim.ph6.st1.t1 | task.pim.ph6.st2.t1 | task.pim.ph6.st3.t1,CS-PIM-ARTIFACT-POLICY-CATALOG-V1,simulated-produced-and-reviewed
pim-artifact.security-model,Security Model,,pim,task.pim.ph5.st1.t1 | task.pim.ph5.st1.t2,task.pim.ph5.st1.t2 | task.pim.ph5.st2.ss1.t1 | task.pim.ph5.st2.ss3.t1 | task.pim.ph5.st3.t2 | task.pim.ph6.st1.t1 | task.pim.ph6.st2.t1 | task.pim.ph6.st3.t1,CS-PIM-ARTIFACT-SECURITY-MODEL-V1,simulated-produced-and-reviewed
pim-artifact.service-map,Service Boundary Map,,pim,task.pim.ph1.st2.t1 | task.pim.ph1.st2.t2,task.pim.ph1.st2.t2 | task.pim.ph2.st1.t1 | task.pim.ph2.st1.t2 | task.pim.ph2.st2.t1 | task.pim.ph2.st2.t2 | task.pim.ph2.st2.t3 | task.pim.ph3.st1.t1 | task.pim.ph3.st2.t1 | task.pim.ph4.st1.t1 | task.pim.ph4.st2.t1 | task.pim.ph4.st2.t2 | task.pim.ph5.st1.t1 | task.pim.ph5.st1.t2 | task.pim.ph5.st2.ss1.t1 | task.pim.ph5.st2.ss2.t1 | task.pim.ph5.st2.ss2.t2 | task.pim.ph5.st2.ss3.t2 | task.pim.ph5.st3.t1 | task.pim.ph6.st1.t1 | task.pim.ph6.st2.t1,CS-PIM-ARTIFACT-SERVICE-MAP-V1,simulated-produced-and-reviewed
pim-artifact.workflow-model,Workflow Model,,pim,task.pim.ph4.st2.t1 | task.pim.ph4.st2.t2,task.pim.ph4.st2.t2 | task.pim.ph5.st2.ss2.t1 | task.pim.ph5.st2.ss2.t2 | task.pim.ph5.st2.ss3.t2 | task.pim.ph6.st2.t1,CS-PIM-ARTIFACT-WORKFLOW-MODEL-V1,simulated-produced-and-reviewed
psm-artifact.api-layer,API Gateway Layer,,psm,task.psm.ph5.st1.t1 | task.psm.ph5.st1.t2,task.psm.ph5.st1.t2 | task.psm.ph5.st2.ss1.t1 | task.psm.ph5.st2.ss2.t1 | task.psm.ph5.st2.ss2.t2 | task.psm.ph6.st1.t1 | task.psm.ph6.st2.t1,CS-PSM-ARTIFACT-API-LAYER-V1,simulated-produced-and-reviewed
psm-artifact.compute-layer,Lambda Compute Layer,,psm,task.psm.ph4.st2.t1 | task.psm.ph4.st2.t2,task.psm.ph4.st2.t2 | task.psm.ph5.st1.t1 | task.psm.ph5.st1.t2 | task.psm.ph5.st2.ss1.t1 | task.psm.ph5.st2.ss2.t1 | task.psm.ph5.st2.ss2.t2 | task.psm.ph6.st1.t1 | task.psm.ph6.st2.t1,CS-PSM-ARTIFACT-COMPUTE-LAYER-V1,simulated-produced-and-reviewed
psm-artifact.deployment-readiness,Deployment Readiness Record,,psm,task.psm.ph6.st2.t1,task.psm.ph6.st3.t1,CS-PSM-ARTIFACT-DEPLOYMENT-READINESS-V1,simulated-produced-and-reviewed
